City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Nanortalik,60.14,-45.24,45.41,89,100,6.78,GL,1596493691
Wahiawā,21.5,-158.02,87.8,57,75,10.29,US,1596493692
Shelburne,44.08,-80.2,68.0,94,40,4.7,CA,1596493692
Coquimbo,-29.95,-71.34,53.6,93,40,11.41,CL,1596493692
Teeli,51.03,90.23,50.52,73,3,1.21,RU,1596493692
Tasiilaq,65.61,-37.64,42.8,93,100,5.82,GL,1596493693
Polunochnoye,60.87,60.42,55.47,73,100,1.14,RU,1596493693
Port Elizabeth,-33.92,25.57,55.4,93,20,5.82,ZA,1596493693
Bafra,41.57,35.91,66.2,77,40,1.12,TR,1596493693
Avarua,-21.21,-159.78,71.6,68,91,10.29,CK,1596493694
Saint Anthony,45.02,-93.22,73.0,40,90,9.17,US,1596493694
Praia da Vitória,38.73,-27.07,77.0,73,75,14.9,PT,1596493694
Vaini,-21.2,-175.2,77.0,78,75,10.29,TO,1596493695
Cayenne,4.93,-52.33,77.0,100,64,7.43,GF,1596493695
Rikitea,-23.12,-134.97,73.49,83,18,17.2,PF,1596493695
Severo-Kuril'sk,50.68,156.12,53.71,88,64,7.4,RU,1596493695
Tautira,-17.73,-149.15,84.2,66,20,10.29,PF,1596493695
Norman Wells,65.28,-126.83,80.6,47,75,8.05,CA,1596493696
Kavaratti,10.57,72.64,82.17,77,99,28.05,IN,1596493696
Kerman,30.28,57.08,80.6,17,20,9.17,IR,1596493696
Faanui,-16.48,-151.75,77.92,81,0,12.8,PF,1596493697
Tynda,55.17,124.72,54.84,80,100,4.81,RU,1596493697
Hilo,19.73,-155.09,84.2,58,1,9.17,US,1596493697
Narsaq,60.92,-46.05,48.2,87,100,4.7,GL,1596493697
Dikson,73.51,80.55,53.87,94,100,26.26,RU,1596493697
San Patricio,19.22,-104.7,87.8,79,75,11.41,MX,1596493698
Longyearbyen,78.22,15.64,42.8,100,90,4.7,SJ,1596493698
Vila Velha,-20.33,-40.29,73.0,77,40,5.82,BR,1596493699
Ushuaia,-54.8,-68.3,44.6,48,20,6.93,AR,1596493699
Yellowknife,62.46,-114.35,77.0,69,90,6.93,CA,1596493503
Saint-Philippe,-21.36,55.77,68.0,82,90,14.99,RE,1596493699
Bilibino,68.05,166.44,47.71,85,99,2.01,RU,1596493700
Hasaki,35.73,140.83,79.0,88,20,4.7,JP,1596493700
Suwannaphum,15.6,103.8,81.0,94,40,5.82,TH,1596493700
Hearst,49.68,-83.67,53.44,81,100,4.74,CA,1596493700
Hithadhoo,-0.6,73.08,82.42,77,100,8.86,MV,1596493701
Ola,59.58,151.28,60.84,63,1,2.3,RU,1596493701
Chui,-33.7,-53.46,57.52,91,0,6.8,UY,1596493701
Yamada,39.47,141.95,72.34,84,100,6.46,JP,1596493701
Baykit,61.67,96.37,56.32,83,16,3.89,RU,1596493702
Nikolskoye,59.7,30.79,60.8,82,36,4.47,RU,1596493702
Hong Kong,22.29,114.16,80.01,88,85,5.01,HK,1596493702
Hermanus,-34.42,19.23,55.99,93,29,3.0,ZA,1596493702
